regime,example_type,timestamp,symbol,true_class,predicted_class,confidence,p_down,p_flat,p_up
low,correct,2026-07-18T11:00:00.000000000,BTCUSDT,Flat,Flat,0.8864263296127319,0.04795536398887634,0.8864263296127319,0.06561823189258575
low,error,2026-07-25T04:00:00.000000000,BTCUSDT,Down,Flat,0.8718422651290894,0.06046860292553902,0.8718422651290894,0.06768918037414551
medium,correct,2026-07-11T13:00:00.000000000,BTCUSDT,Flat,Flat,0.8501137495040894,0.0638635903596878,0.8501137495040894,0.08602273464202881
medium,error,2026-07-12T20:00:00.000000000,BTCUSDT,Down,Flat,0.8170449137687683,0.08344737440347672,0.8170449137687683,0.09950775653123856
high,correct,2026-07-02T03:00:00.000000000,ETHUSDT,Down,Down,0.5013599991798401,0.5013599991798401,0.1829385757446289,0.315701425075531
high,error,2026-07-02T12:00:00.000000000,ETHUSDT,Up,Down,0.48897457122802734,0.48897457122802734,0.19338448345661163,0.3176409602165222
