train_regime,test_regime,model,seed_count,sample_count,class_count_down,class_count_flat,class_count_up,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,recall_down_mean,recall_down_std,recall_flat_mean,recall_flat_std,recall_up_mean,recall_up_std
low,low,logistic_regression,1,2033,436,1232,365,0.48106246925725527,0.0,0.3938054849616373,0.0,0.28440366972477066,0.0,0.601461038961039,0.0,0.3095890410958904,0.0
low,low,cnn_lstm,3,2033,436,1232,365,0.42170847679947526,0.009283743346051527,0.38085250764514283,0.005638555854419668,0.3226299694189602,0.040179459765966076,0.44615800865800864,0.02068699659482174,0.4575342465753425,0.028559809627601625
low,high,logistic_regression,1,2429,809,847,773,0.36517085220255247,0.0,0.3305568838140962,0.0,0.5908529048207664,0.0,0.09681227863046045,0.0,0.4230271668822768,0.0
low,high,cnn_lstm,3,2429,809,847,773,0.34815424728969396,0.0034335106362554627,0.2996591701140181,0.0006110320828388091,0.5665430572723528,0.09041998795873919,0.053128689492325853,0.011117234861728085,0.4428633031479086,0.10140373775553768
high,high,logistic_regression,1,2429,809,847,773,0.414985590778098,0.0,0.3988868714241538,0.0,0.2360939431396786,0.0,0.6103896103896104,0.0,0.38809831824062097,0.0
high,high,cnn_lstm,3,2429,809,847,773,0.41278989982160014,0.003717913320747658,0.409134124283199,0.004539662529482206,0.31396786155747836,0.031867898702380736,0.4789452971271153,0.00434685596898357,0.44372574385510993,0.02904261878479126
high,low,logistic_regression,1,2033,436,1232,365,0.5887850467289719,0.0,0.3282241628362316,0.0,0.05733944954128441,0.0,0.922077922077922,0.0,0.09863013698630137,0.0
high,low,cnn_lstm,3,2033,436,1232,365,0.572716838826037,0.0010107253653006893,0.3523708910822461,0.00127970420661515,0.0581039755351682,0.006576701274497421,0.8658008658008658,0.0003826335396031135,0.19817351598173516,0.011479274054773092
